id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1515842433048715272,1515720231037059076,2022-04-17 16:59:33,2022-04-17,16:59:33,-0700,1449691966472536064,yeop02431795,yeopyeops,,@YogiesNFT @Archillect_Fi @NinangAnne @AaveAave @Arktivak lets go!,en,"[{'screen_name': 'ninanganne', 'name': 'anne • nft', 'id': '1304665731833888768'}, {'screen_name': 'aaveaave', 'name': 'aave', 'id': '867100084248469505'}, {'screen_name': 'arktivak', 'name': 'arktivak', 'id': '1485161519738658818'}]",[],[],0,0,0,[],[],https://twitter.com/yeop02431795/status/1515842433048715272,False,,0,,,,,,,,"[{'screen_name': 'YogiesNFT', 'name': 'Yogies', 'id': '1500018128285278210'}]",,,,
1515842272855736329,1515426748443205634,2022-04-17 16:58:55,2022-04-17,16:58:55,-0700,1563783648,pastelpantendo,"Hey dissapointment, i'm dad",,"@yourundeaduncle If I'm not mistaken, the general use of was made popular cus of aave and other cultural speaking adopted in, for English.",en,[],[],[],0,0,0,[],[],https://twitter.com/pastelpantendo/status/1515842272855736329,False,,0,,,,,,,,"[{'screen_name': 'yourundeaduncle', 'name': 'Descending Rain Effectuates Wetness', 'id': '845913568474087425'}]",,,,
1515841998825172997,1515510447985893378,2022-04-17 16:57:50,2022-04-17,16:57:50,-0700,327400787,aliondal,ali ilbey çondal,,@WatcherGuru #jasmyCoin #Aave #API3,und,[],[],[],0,0,2,"['jasmycoin', 'aave', 'api3']",[],https://twitter.com/aliondal/status/1515841998825172997,False,,0,,,,,,,,"[{'screen_name': 'WatcherGuru', 'name': 'Watcher.Guru', 'id': '1387497871751196672'}]",,,,
1515841478207029248,1515827062782713857,2022-04-17 16:55:46,2022-04-17,16:55:46,-0700,1479688867418497024,actual_bossbabe,thetis🫧,,@Vox_Akuma STOP IT WITH THE AAVE OH MY GOD  https://t.co/TDhGjs1n3T,en,[],[],['https://pbs.twimg.com/media/FQlZylmVcAAQNDb.jpg'],0,0,12,[],[],https://twitter.com/actual_bossbabe/status/1515841478207029248,False,,1,https://pbs.twimg.com/media/FQlZylmVcAAQNDb.jpg,,,,,,,"[{'screen_name': 'Vox_Akuma', 'name': 'Vox Akuma 👹🧧 NIJISANJI EN', 'id': '1465851881180348425'}]",,,,
1515841287508926464,1515841287508926464,2022-04-17 16:55:00,2022-04-17,16:55:00,-0700,1495091852982165505,defi_bot1,DeFibot,,↑ Aave V2 Deposit APY for USDT on Polygon is 26.97%. It was previously 26.89%.  #defiratealert  #Aave  #USDT  #Polygon,en,[],[],[],0,0,0,"['defiratealert', 'aave', 'usdt', 'polygon']",[],https://twitter.com/DeFi_bot1/status/1515841287508926464,False,,0,,,,,,,,[],,,,
1515841287475322892,1515841287475322892,2022-04-17 16:55:00,2022-04-17,16:55:00,-0700,1495091852982165505,defi_bot1,DeFibot,,↑ Aave V2 Borrow APY for USDT on Polygon is 32.59%. It was previously 32.51%.  #defiratealert  #Aave  #USDT  #Polygon,en,[],[],[],0,0,0,"['defiratealert', 'aave', 'usdt', 'polygon']",[],https://twitter.com/DeFi_bot1/status/1515841287475322892,False,,0,,,,,,,,[],,,,
1515841264415125519,1515841264415125519,2022-04-17 16:54:55,2022-04-17,16:54:55,-0700,1429211470760402950,vampriri,"🥀Its Ebi, bitch🥀",,"I'm so tired of being told I act white or like some other race. I've been mistaken for blasian multiple times for my eyes, n been called white just bcuz I don't use aave a lot when I talk. It's fucking annoyingggg",en,[],[],[],0,0,1,[],[],https://twitter.com/VAMPRIRI/status/1515841264415125519,False,https://twitter.com/soloman_bt/status/1515421217074790402,0,,,,,,,,[],,,,
1515841171179847686,1515841171179847686,2022-04-17 16:54:32,2022-04-17,16:54:32,-0700,1210323819627532290,stratussystem,Alexis Stratus,,"Yall in the comments like ""appropriating AAVE and grooming are cool when its some old dude"" are insane.",en,[],[],[],1,0,2,[],[],https://twitter.com/StratusSystem/status/1515841171179847686,False,https://twitter.com/notmollyorsilly/status/1515743576323510275,0,,,,,,,,[],,,,
1515840660699500550,1515765540907892738,2022-04-17 16:52:31,2022-04-17,16:52:31,-0700,1268725841204252681,mari_nanina,♡♡♡,,"@maiaapplesauce amg uma coisa q falam mt tbm eh o uso inapropriado de AAVE, q eh tipo, uma língua afro-americana",pt,[],[],[],0,0,0,[],[],https://twitter.com/mari_nanina/status/1515840660699500550,False,,0,,,,,,,,"[{'screen_name': 'maiaapplesauce', 'name': 'Ana ⚢︎', 'id': '1363920469502607363'}]",,,,
1515840656530284544,1515827173768282121,2022-04-17 16:52:30,2022-04-17,16:52:30,-0700,1515270749946142723,haezyuu,hae!☆,,@notbillzo wait is it offensive bc of the slay or the emote looks? and also is slay an aave? /genq,en,[],[],[],2,0,1,[],[],https://twitter.com/haezyuu/status/1515840656530284544,False,,0,,,,,,,,"[{'screen_name': 'notbillzo', 'name': 'bill4_', 'id': '1494081471207849985'}]",,,,
